               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11117,            0.048101,            0.051921,           0.0017218,             0.15524,           0.0012333,          0.00047461,            0.098758,            0.036987,            0.051895,              0.0991,              0.0001,              0.0001
                   1,             0.11167,            0.041851,            0.055015,           0.0019821,             0.22381,           0.0014815,          0.00045328,             0.09791,             0.03685,            0.051788,              0.0973,           0.0002997,           0.0002997
                   2,             0.10985,            0.050825,            0.054215,           0.0014375,             0.21016,           0.0013087,          0.00033703,            0.096492,            0.036804,            0.051498,            0.095499,          0.00049901,          0.00049901
                   3,             0.10902,            0.045088,            0.053139,           0.0033343,              0.3546,           0.0029686,          0.00076777,              0.0939,            0.035007,            0.050842,            0.093698,          0.00069792,          0.00069792
                   4,             0.10323,            0.051533,             0.05198,           0.0031964,             0.32159,           0.0026651,          0.00064273,            0.091085,             0.03508,            0.050537,            0.091896,          0.00089644,          0.00089644
                   5,             0.10447,            0.048405,            0.051693,           0.0023492,              0.2619,           0.0020357,          0.00039883,             0.08709,            0.035198,            0.050125,            0.090095,           0.0010946,           0.0010946
                   6,             0.10405,            0.052642,             0.05094,           0.0019007,             0.31016,            0.001739,          0.00051832,            0.084625,            0.034527,             0.04985,            0.088292,           0.0012923,           0.0012923
                   7,             0.10091,            0.049689,            0.052203,           0.0022696,              0.3527,           0.0025954,          0.00064974,             0.08423,            0.033623,            0.049744,             0.08649,           0.0014896,           0.0014896
                   8,            0.097378,            0.050174,            0.050093,           0.0029158,             0.45016,           0.0034193,          0.00079876,            0.083017,            0.033497,            0.049896,            0.084687,           0.0016865,           0.0016865
                   9,            0.093227,            0.048494,            0.050648,           0.0021929,             0.32381,           0.0024569,          0.00055339,             0.08368,             0.03289,            0.050018,            0.082883,           0.0018831,           0.0018831
                  10,            0.098342,              0.0634,            0.050003,           0.0030803,             0.45873,           0.0039363,           0.0011264,            0.083056,            0.032372,            0.049835,            0.081079,           0.0020792,           0.0020792
                  11,            0.094572,            0.050604,            0.049293,           0.0042645,             0.58571,           0.0073925,           0.0020744,            0.080598,            0.032516,            0.049545,            0.079275,            0.002275,            0.002275
                  12,            0.096157,            0.050352,             0.05012,           0.0043961,             0.63397,            0.012166,           0.0043167,            0.077225,            0.033062,            0.049423,             0.07747,           0.0024703,           0.0024703
                  13,            0.087555,            0.059048,            0.049698,           0.0044087,             0.61651,            0.019196,           0.0051339,            0.076774,            0.032478,             0.04953,            0.075665,           0.0026653,           0.0026653
                  14,            0.091018,            0.052824,            0.049843,           0.0046937,              0.6873,            0.020832,           0.0086513,            0.075882,            0.032307,            0.049469,             0.07386,           0.0028598,           0.0028598
                  15,            0.085637,            0.055437,            0.048067,            0.004759,             0.73587,            0.027616,            0.009834,            0.072171,            0.033371,             0.04921,            0.072054,            0.003054,            0.003054
                  16,            0.088103,            0.058884,              0.0483,           0.0052117,             0.78921,            0.027192,           0.0093995,            0.070186,            0.033691,             0.04921,            0.070248,           0.0032477,           0.0032477
                  17,            0.086476,            0.041693,            0.050769,           0.0051314,             0.78921,            0.045823,            0.017337,            0.069793,            0.032932,            0.049072,            0.068441,           0.0034411,           0.0034411
                  18,            0.088746,              0.0495,            0.049089,           0.0052618,             0.83143,             0.06785,            0.020793,            0.068115,            0.032928,            0.048836,            0.066634,           0.0036341,           0.0036341
