               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.040098,            0.015402,            0.016025,             0.33104,             0.71526,             0.51258,             0.27602,            0.037664,           0.0073773,           0.0093766,           0.0096535,           0.0096535,           0.0096535
                  37,            0.040136,            0.013758,             0.01591,             0.33048,             0.59217,             0.47599,              0.2861,            0.035565,           0.0074579,           0.0094125,           0.0096436,           0.0096436,           0.0096436
                  38,            0.038766,             0.01347,            0.014855,             0.54703,             0.65396,             0.51127,             0.29693,            0.035689,           0.0074602,           0.0089677,           0.0096337,           0.0096337,           0.0096337
                  39,             0.04374,            0.013769,            0.014837,             0.31337,              0.6842,             0.51357,             0.29187,            0.031997,           0.0071791,           0.0093102,           0.0096238,           0.0096238,           0.0096238
                  40,            0.039817,            0.015385,            0.016431,             0.61116,             0.67392,             0.56763,             0.28175,            0.034511,           0.0070888,            0.009155,           0.0096139,           0.0096139,           0.0096139
                  41,            0.038887,            0.013754,            0.015688,             0.34431,             0.69771,             0.56391,             0.29718,            0.033287,           0.0070989,           0.0085894,            0.009604,            0.009604,            0.009604
                  42,            0.041162,            0.012468,            0.013431,             0.36899,             0.78865,             0.57963,             0.36944,            0.029497,           0.0070736,           0.0088703,           0.0095941,           0.0095941,           0.0095941
                  43,            0.039793,            0.013371,            0.016304,             0.48124,             0.79855,             0.64634,             0.34875,            0.032783,           0.0069543,           0.0085108,           0.0095842,           0.0095842,           0.0095842
                  44,            0.041168,            0.011519,            0.013367,             0.49611,             0.83661,             0.69121,             0.43736,            0.033515,           0.0065861,           0.0081671,           0.0095743,           0.0095743,           0.0095743
                  45,            0.036732,            0.011428,            0.013742,             0.53801,              0.8398,              0.6972,             0.35384,            0.033807,           0.0066787,           0.0080258,           0.0095644,           0.0095644,           0.0095644
                  46,            0.039187,            0.012618,            0.014288,             0.53722,             0.80094,             0.68207,             0.36451,            0.034632,           0.0064297,           0.0077076,           0.0095545,           0.0095545,           0.0095545
                  47,            0.037172,            0.011262,               0.014,             0.50433,             0.80706,             0.70516,              0.3876,             0.03647,           0.0066881,           0.0074352,           0.0095446,           0.0095446,           0.0095446
                  48,            0.038705,            0.011888,            0.012776,             0.48757,             0.81505,             0.67335,             0.41417,            0.031613,           0.0069845,           0.0076921,           0.0095347,           0.0095347,           0.0095347
                  49,             0.03932,            0.012181,            0.013003,             0.53726,             0.82531,             0.66819,             0.37671,            0.033497,           0.0067216,           0.0075237,           0.0095248,           0.0095248,           0.0095248
                  50,            0.037831,            0.012156,            0.014242,             0.59779,             0.84559,             0.77429,             0.40549,             0.02832,           0.0062765,           0.0074588,           0.0095149,           0.0095149,           0.0095149
                  51,            0.038484,            0.012204,             0.01277,             0.56628,             0.78026,             0.69062,             0.40901,            0.029664,           0.0062108,           0.0071849,            0.009505,            0.009505,            0.009505
                  52,            0.035046,            0.011789,            0.014285,             0.63689,             0.82352,             0.77083,             0.40286,            0.035108,           0.0061978,           0.0071866,           0.0094951,           0.0094951,           0.0094951
                  53,            0.036878,            0.011609,            0.012934,             0.68386,             0.87194,             0.82466,             0.43125,            0.035371,           0.0061529,           0.0071898,           0.0094852,           0.0094852,           0.0094852
                  54,            0.034398,            0.010693,            0.012582,             0.67142,             0.84756,             0.84283,             0.41847,            0.034327,           0.0059845,           0.0069965,           0.0094753,           0.0094753,           0.0094753
