               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11117,            0.048101,            0.051921,           0.0017218,             0.15524,           0.0012333,          0.00047461,            0.098758,            0.036987,            0.051895,              0.0991,              0.0001,              0.0001
                   1,             0.11167,            0.041855,            0.055011,           0.0019832,             0.22381,            0.001484,          0.00045189,            0.097951,            0.036839,            0.051788,            0.097285,          0.00028515,          0.00028515
                   2,             0.10993,            0.050796,            0.054212,           0.0013281,             0.18159,           0.0011809,            0.000321,            0.096345,            0.036865,            0.051575,            0.095451,           0.0004505,           0.0004505
                   3,             0.11005,            0.044601,            0.053051,           0.0032471,             0.30127,           0.0028505,          0.00075174,            0.094892,            0.035496,            0.050934,            0.093596,          0.00059605,          0.00059605
                   4,             0.10416,            0.051055,            0.052081,           0.0035965,             0.37683,           0.0031055,          0.00079238,            0.091329,            0.034874,            0.050644,            0.091722,           0.0007218,           0.0007218
                   5,             0.10571,            0.047627,            0.051979,           0.0032354,             0.42381,           0.0031621,          0.00083558,            0.088317,            0.034477,            0.050552,            0.089828,          0.00082775,          0.00082775
                   6,             0.10501,            0.052431,            0.051862,           0.0027962,              0.3927,           0.0031151,           0.0006883,            0.086032,             0.03426,            0.050308,            0.087914,           0.0009139,           0.0009139
                   7,              0.1038,            0.049077,            0.052041,           0.0013839,             0.24984,           0.0011987,          0.00025371,            0.085531,            0.033997,            0.050156,             0.08598,          0.00098025,          0.00098025
                   8,            0.099894,            0.049423,            0.051205,           0.0021701,             0.32762,           0.0017831,          0.00036495,            0.084402,            0.034111,            0.050156,            0.084027,           0.0010268,           0.0010268
                   9,            0.093062,            0.049773,            0.051307,           0.0029185,              0.4054,            0.006199,          0.00083677,             0.08344,            0.033947,            0.050018,            0.082054,           0.0010536,           0.0010536
                  10,             0.10216,            0.061585,            0.050305,           0.0026205,             0.34984,            0.013611,           0.0016444,            0.082423,            0.033745,            0.049805,            0.080061,           0.0010605,           0.0010605
                  11,             0.09922,            0.049229,             0.05007,           0.0026122,             0.34127,           0.0099252,           0.0017107,            0.081722,            0.033554,            0.049576,            0.078048,           0.0010477,           0.0010477
                  12,            0.099673,            0.049771,            0.051038,           0.0031168,             0.38349,            0.010462,           0.0017256,            0.080876,            0.033485,            0.049286,            0.076015,            0.001015,            0.001015
                  13,            0.092465,            0.058082,            0.050058,           0.0034349,             0.42794,           0.0069513,            0.001766,            0.079955,            0.033611,            0.049133,            0.073963,          0.00096255,          0.00096255
                  14,             0.09719,            0.051681,            0.051631,           0.0032574,             0.39683,           0.0077644,           0.0016552,            0.079533,            0.033478,            0.049103,             0.07189,           0.0008903,           0.0008903
                  15,            0.091537,            0.054655,            0.049126,           0.0033777,             0.43238,           0.0040503,           0.0011883,            0.079102,             0.03336,            0.048981,            0.069798,          0.00079825,          0.00079825
                  16,            0.096013,            0.057415,            0.048379,           0.0035657,             0.48095,           0.0042023,           0.0013809,            0.078828,             0.03318,            0.048935,            0.067686,           0.0006864,           0.0006864
                  17,            0.096588,            0.040534,            0.051919,           0.0031978,              0.4454,           0.0043842,           0.0013004,            0.078922,            0.032749,            0.048981,            0.065555,          0.00055475,          0.00055475
                  18,            0.099986,            0.046839,            0.051257,           0.0034312,             0.48095,           0.0042896,            0.001335,            0.078241,            0.032822,            0.048935,            0.063403,           0.0004033,           0.0004033
                  19,            0.089809,            0.054355,            0.050881,           0.0032874,             0.46095,           0.0042256,           0.0013793,            0.077637,             0.03297,            0.048874,            0.061232,          0.00023205,          0.00023205
