               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11117,            0.048101,            0.051921,           0.0017218,             0.15524,           0.0012333,          0.00047461,            0.098758,            0.036987,            0.051895,              0.0991,              0.0001,              0.0001
                   1,             0.11171,            0.041856,            0.055025,           0.0019815,             0.22381,           0.0014735,           0.0004503,            0.098179,            0.036816,            0.051804,            0.097201,            0.000201,            0.000201
                   2,             0.11037,            0.050642,            0.054229,           0.0019552,             0.23238,           0.0015274,          0.00047312,            0.097305,            0.036747,            0.051697,             0.09517,             0.00017,             0.00017
